wavenumber;PC1
3348,348;-0,039800602
3346,419;-0,040066271
3344,491;-0,040330484
3342,562;-0,040843245
3340,633;-0,041227386
3338,704;-0,041478124
3336,775;-0,042117722
3334,847;-0,04310692
3332,918;-0,043445301
3330,989;-0,042776271
3329,06;-0,042285269
3327,132;-0,042613333
3325,203;-0,042860739
3323,274;-0,042523378
3321,345;-0,042290457
3319,417;-0,042895735
3317,488;-0,043803852
3315,559;-0,043555987
3313,63;-0,042231425
3311,701;-0,041540107
3309,773;-0,042044369
3307,844;-0,042766089
3305,915;-0,043080753
3303,986;-0,04296569
3302,058;-0,042431732
3300,129;-0,041978069
3298,2;-0,042088295
3296,271;-0,042605063
3294,342;-0,043232041
3292,414;-0,043522336
3290,485;-0,043092286
3288,556;-0,042054192
3286,627;-0,041120354
3284,699;-0,041007796
3282,77;-0,041150668
3280,841;-0,040930971
3278,912;-0,040801855
3276,984;-0,040659993
3275,055;-0,040469486
3273,126;-0,040805301
3271,197;-0,041264793
3269,268;-0,041412204
3267,34;-0,041409654
3265,411;-0,041079629
3263,482;-0,04030359
3261,553;-0,039289834
3259,625;-0,038529459
3257,696;-0,038515811
3255,767;-0,038927242
3253,838;-0,039106847
3251,909;-0,03902842
3249,981;-0,039100518
3248,052;-0,039495019
3246,123;-0,039779956
3244,194;-0,039365869
3242,266;-0,038360812
3240,337;-0,037397916
3238,408;-0,036764137
3236,479;-0,036244056
3234,551;-0,035666545
3232,622;-0,035028142
3230,693;-0,034345269
3228,764;-0,033811055
3226,835;-0,033713651
3224,907;-0,03386728
3222,978;-0,033758719
3221,049;-0,033376284
3219,12;-0,032683269
3217,192;-0,031677158
3215,263;-0,030960841
3213,334;-0,030611554
3211,405;-0,030517084
3209,477;-0,030696286
3207,548;-0,030415411
3205,619;-0,029490012
3203,69;-0,028727885
3201,761;-0,028179424
3199,833;-0,027216935
3197,904;-0,026204364
3195,975;-0,025894696
3194,046;-0,026013621
3192,118;-0,025879005
3190,189;-0,025062297
3188,26;-0,023717416
3186,331;-0,02259576
3184,402;-0,022294832
3182,474;-0,022395499
3180,545;-0,021848584
3178,616;-0,020644655
3176,687;-0,019740862
3174,759;-0,019530855
3172,83;-0,01933305
3170,901;-0,018510185
3168,972;-0,017660062
3167,044;-0,017374949
3165,115;-0,017169903
3163,186;-0,016566385
3161,257;-0,015726231
3159,328;-0,014856043
3157,4;-0,013795793
3155,471;-0,01278654
3153,542;-0,012438093
3151,613;-0,012475504
3149,685;-0,0123165
3147,756;-0,012070793
3145,827;-0,011615362
3143,898;-0,010609608
3141,969;-0,00952966
3140,041;-0,00885358
3138,112;-0,008322088
3136,183;-0,007812713
3134,254;-0,00737997
3132,326;-0,006649127
3130,397;-0,005593414
3128,468;-0,00497803
3126,539;-0,005139298
3124,611;-0,005434191
3122,682;-0,005071475
3120,753;-0,003977952
3118,824;-0,002866634
3116,895;-0,002314326
3114,967;-0,002174277
3113,038;-0,001952966
3111,109;-0,001377274
3109,18;-0,000685466
3107,252;-0,000116375
3105,323;0,00050608
3103,394;0,001223665
3101,465;0,002000084
3099,537;0,003000187
3097,608;0,00397561
3095,679;0,004367153
3093,75;0,004277308
3091,821;0,004451173
3089,893;0,00523379
3087,964;0,0062606
3086,035;0,007105115
